_H:	|batch	|epoch	$train_mode	%avg_sse	%cnt_err	%avg_norm_err	%avg_cos_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%V1m_Ctxt_Fm_V1m_netrel	%V1m_Fm_V2m_netrel	%V1m_Ctxt_Fm_V2m_netrel	%V2m_Fm_V1m_netrel	%V2m_Ctxt_Fm_V1m_netrel	%V2m_Ctxt_Fm_V2m_netrel	%V1m_netmax	%V2m_netmax
_D:	0	108	"TEST"	11.9909	0	0.0581049	0.835065	0	50	0.02	0.02	0	1	0	1	0	0	1.02667	0.851738
_D:	0	109	"TEST"	11.7708	0	0.0581278	0.842233	0	50	0.02	0.02	0	1	0	1	0	0	1.02639	0.857847
_D:	0	110	"TEST"	12.2818	0	0.0603299	0.833428	0	50	0.02	0.02	0	1	0	1	0	0	1.02365	0.858416
_D:	0	111	"TEST"	12.3331	0	0.0590598	0.831256	0	50	0.02	0.02	0	1	0	1	0	0	1.03057	0.854212
_D:	0	112	"TEST"	11.641	0	0.0584704	0.84365	0	50	0.02	0.02	0	1	0	1	0	0	1.02799	0.852774
_D:	0	113	"TEST"	11.9309	0	0.0587171	0.838608	0	50	0.02	0.02	0	1	0	1	0	0	1.03316	0.8543
_D:	0	114	"TEST"	12.0914	0	0.0589866	0.835549	0	50	0.02	0.02	0	1	0	1	0	0	1.0173	0.846857
_D:	0	115	"TEST"	11.9838	0	0.0578125	0.835766	0	50	0.02	0.02	0	1	0	1	0	0	1.02299	0.848754
_D:	0	116	"TEST"	11.3882	0	0.0562774	0.847529	0	50	0.02	0.02	0	1	0	1	0	0	1.04353	0.863991
_D:	0	117	"TEST"	11.7919	0	0.0588085	0.841167	0	50	0.03	0.02	0	1	0	1	0	0	1.03761	0.850165
_D:	0	118	"TEST"	11.8826	0	0.0583516	0.838993	0	50	0.02	0.02	0	1	0	1	0	0	1.04422	0.858757
_D:	0	119	"TEST"	11.7073	0	0.0580592	0.84245	0	50	0.02	0.02	0	1	0	1	0	0	1.04204	0.862668
_D:	0	120	"TEST"	11.3984	0	0.0558936	0.84534	0	50	0.02	0.01	0	1	0	1	0	0	1.02915	0.858234
