_H:	|batch	|epoch	$train_mode	%avg_sse	%cnt_err	%avg_norm_err	%avg_cos_err	%avg_cos_err_prv	%avg_cos_err_vs_prv	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%V1m_Ctxt_Fm_V1m_netrel	%V1m_Fm_V2m_netrel	%V1m_Ctxt_Fm_V2m_netrel	%V2m_Fm_V1m_netrel	%V2m_Ctxt_Fm_V1m_netrel	%V2m_Ctxt_Fm_V2m_netrel	%V1m_netmax	%V2m_netmax
_D:	0	108	"TRAIN"	11.9909	380	0.0581049	0.835065	0.61645	0.218615	0	50	62.82	84.78	0	1	0	1	0	0	1.02667	0.851738
_D:	0	109	"TRAIN"	11.7708	380	0.0581278	0.842233	0.635826	0.206407	0	50	62.25	84.66	0	1	0	1	0	0	1.02639	0.857847
_D:	0	110	"TRAIN"	12.2818	380	0.0603299	0.833428	0.634892	0.198536	0	50	62.36	84.47	0	1	0	1	0	0	1.02365	0.858416
_D:	0	111	"TRAIN"	12.3331	380	0.0590598	0.831256	0.621863	0.209393	0	50	61.52	84.26	0	1	0	1	0	0	1.03057	0.854212
_D:	0	112	"TRAIN"	11.641	380	0.0584704	0.84365	0.627498	0.216153	0	50	63.51	85.15	0	1	0	1	0	0	1.02799	0.852774
_D:	0	113	"TRAIN"	11.9309	380	0.0587171	0.838608	0.6337	0.204908	0	50	62.75	84.93	0	1	0	1	0	0	1.03316	0.8543
_D:	0	114	"TRAIN"	12.0914	380	0.0589866	0.835549	0.622285	0.213263	0	50	61.76	84.41	0	1	0	1	0	0	1.0173	0.846857
_D:	0	115	"TRAIN"	11.9838	380	0.0578125	0.835766	0.625743	0.210023	0	50	61.89	84.09	0	1	0	1	0	0	1.02299	0.848754
_D:	0	116	"TRAIN"	11.3882	380	0.0562774	0.847529	0.623354	0.224175	0	50	62.97	85.18	0	1	0	1	0	0	1.04353	0.863991
_D:	0	117	"TRAIN"	11.7919	380	0.0588085	0.841167	0.621206	0.219961	0	50	63.11	85.41	0	1	0	1	0	0	1.03761	0.850165
_D:	0	118	"TRAIN"	11.8826	380	0.0583516	0.838993	0.624439	0.214555	0	50	62.41	85.01	0	1	0	1	0	0	1.04422	0.858757
_D:	0	119	"TRAIN"	11.7073	380	0.0580592	0.84245	0.626293	0.216158	0	50	65.47	91.45	0	1	0	1	0	0	1.04204	0.862668
_D:	0	120	"TRAIN"	11.3984	380	0.0558936	0.84534	0.637889	0.207451	0	50	62.1	86.67	0	1	0	1	0	0	1.02915	0.858234
_D:	0	121	"TRAIN"	12.0487	380	0.0591328	0.835848	0.631592	0.204257	0	50	64.11	88.63	0	1	0	1	0	0	1.04138	0.861689
